epoch,best_auc_TOTAL_vs_self/epoch,best_auc_TOTAL_vs_self/acc_yinda_level0,best_auc_TOTAL_vs_self/auc_yinda_level0,best_auc_TOTAL_vs_self/mean_average_precision_at_r_level0,best_auc_TOTAL_vs_self/precision_at_1_level0,best_auc_TOTAL_vs_self/r_precision_level0,best_auc_TOTAL_vs_self/best_epoch,best_auc_TOTAL_vs_self/best_accuracy
19,19.0,0.8103448152542114,0.8781302571296692,0.5704376697540283,0.7413793206214905,0.70872962474823,15.0,0.8453100323677063
20,20.0,0.8275862336158752,0.8788771629333496,0.5729175806045532,0.7392241358757019,0.7106310129165649,20.0,0.85323166847229
21,21.0,0.8146551847457886,0.8802879452705383,0.5745046734809875,0.7456896305084229,0.711335301399231,20.0,0.85323166847229
22,22.0,0.8038793206214905,0.881097137928009,0.5759297609329224,0.7392241358757019,0.7118927836418152,20.0,0.85323166847229
23,23.0,0.7995689511299133,0.8820930123329163,0.5772895812988281,0.732758641242981,0.7126128077507019,20.0,0.85323166847229
24,24.0,0.8081896305084229,0.8830058574676514,0.578693151473999,0.7370689511299133,0.713223934173584,20.0,0.85323166847229
25,25.0,0.8125,0.8838149905204773,0.5798882246017456,0.7392241358757019,0.7140108346939087,20.0,0.85323166847229
26,26.0,0.8146551847457886,0.8839395046234131,0.5798786282539368,0.7456896305084229,0.7135541439056396,20.0,0.85323166847229
27,27.0,0.795258641242981,0.8848108649253845,0.5788013339042664,0.7521551847457886,0.7121330499649048,20.0,0.85323166847229
28,28.0,0.7866379022598267,0.8848108649253845,0.5786430239677429,0.75,0.7117744088172913,20.0,0.85323166847229
29,29.0,0.7931034564971924,0.8848316073417664,0.5807925462722778,0.7586206793785095,0.7139480113983154,20.0,0.85323166847229
30,30.0,0.806034505367279,0.8849353790283203,0.5818858742713928,0.756465494632721,0.7149034142494202,20.0,0.85323166847229
31,31.0,0.8038793206214905,0.8849353790283203,0.5820929408073425,0.7456896305084229,0.7152777910232544,20.0,0.85323166847229
32,32.0,0.8017241358757019,0.884852409362793,0.5813883543014526,0.7456896305084229,0.7146468758583069,20.0,0.85323166847229
33,33.0,0.795258641242981,0.8843129277229309,0.5802382826805115,0.7629310488700867,0.713655412197113,20.0,0.85323166847229
34,34.0,0.795258641242981,0.8846034407615662,0.5803680419921875,0.7586206793785095,0.7138832807540894,20.0,0.85323166847229
35,35.0,0.8017241358757019,0.8853503465652466,0.5807660222053528,0.756465494632721,0.7140189409255981,20.0,0.85323166847229
36,36.0,0.7909482717514038,0.8860764503479004,0.5804475545883179,0.7715517282485962,0.7132623791694641,20.0,0.85323166847229
37,37.0,0.8275862336158752,0.8867611289024353,0.5820167064666748,0.7693965435028076,0.7144079804420471,37.0,0.8571736812591553
38,38.0,0.8017241358757019,0.8870723247528076,0.5827602744102478,0.767241358757019,0.7149034142494202,37.0,0.8571736812591553
39,39.0,0.7931034564971924,0.8878399729728699,0.5835738182067871,0.7650862336158752,0.7152888774871826,37.0,0.8571736812591553
40,40.0,0.8017241358757019,0.8889603614807129,0.5837860107421875,0.756465494632721,0.7147159576416016,37.0,0.8571736812591553
41,41.0,0.818965494632721,0.8893130421638489,0.5840029716491699,0.756465494632721,0.7145444750785828,37.0,0.8571736812591553
42,42.0,0.8232758641242981,0.8899562358856201,0.5841820240020752,0.7607758641242981,0.7141067385673523,37.0,0.8571736812591553
43,43.0,0.818965494632721,0.8904541730880737,0.5842532515525818,0.7607758641242981,0.7140086889266968,37.0,0.8571736812591553
44,44.0,0.8232758641242981,0.8908068537712097,0.5848666429519653,0.756465494632721,0.714593231678009,37.0,0.8571736812591553
45,45.0,0.8081896305084229,0.8916575312614441,0.5854108333587646,0.7650862336158752,0.7147192358970642,37.0,0.8571736812591553
46,46.0,0.8081896305084229,0.8925081491470337,0.5865731835365295,0.7650862336158752,0.7156150341033936,37.0,0.8571736812591553
47,47.0,0.8081896305084229,0.8931928277015686,0.587338924407959,0.7629310488700867,0.7161169648170471,37.0,0.8571736812591553
