epoch,best_auc_TRAIN_vs_self/epoch,best_auc_TRAIN_vs_self/acc_yinda_level0,best_auc_TRAIN_vs_self/auc_yinda_level0,best_auc_TRAIN_vs_self/mean_average_precision_at_r_level0,best_auc_TRAIN_vs_self/precision_at_1_level0,best_auc_TRAIN_vs_self/r_precision_level0,best_auc_TRAIN_vs_self/best_epoch,best_auc_TRAIN_vs_self/best_accuracy
13,13.0,0.8333333134651184,0.8773139715194702,0.571203887462616,0.7672955989837646,0.7041298747062683,13.0,0.8553236722946167
14,14.0,0.8301886916160583,0.8794499635696411,0.5796887278556824,0.7798742055892944,0.711087703704834,13.0,0.8553236722946167
15,15.0,0.8459119200706482,0.8821199536323547,0.5860781073570251,0.7641509175300598,0.7152994275093079,15.0,0.8640159368515015
16,16.0,0.8238993883132935,0.8844784498214722,0.5897859334945679,0.7704402804374695,0.717574417591095,15.0,0.8640159368515015
17,17.0,0.7861635088920593,0.887192964553833,0.5932942628860474,0.7798742055892944,0.7200558185577393,15.0,0.8640159368515015
18,18.0,0.795597493648529,0.8890619277954102,0.5976918339729309,0.7798742055892944,0.7234271168708801,15.0,0.8640159368515015
19,19.0,0.8176100850105286,0.8903969526290894,0.6017183661460876,0.7641509175300598,0.727112889289856,15.0,0.8640159368515015
20,20.0,0.8427672982215881,0.8906194567680359,0.6038966774940491,0.7704402804374695,0.7286913394927979,20.0,0.866693377494812
21,21.0,0.8238993883132935,0.8921769261360168,0.6055943965911865,0.7735849022865295,0.7294829487800598,20.0,0.866693377494812
22,22.0,0.8113207817077637,0.8932449221611023,0.6076450943946838,0.7704402804374695,0.7307689189910889,20.0,0.866693377494812
23,23.0,0.805031418800354,0.8939568996429443,0.607987642288208,0.7767295837402344,0.730485200881958,20.0,0.866693377494812
24,24.0,0.8144654035568237,0.8949359059333801,0.6091207265853882,0.7798742055892944,0.7310205698013306,20.0,0.866693377494812
25,25.0,0.8207547068595886,0.8957369327545166,0.6097885966300964,0.7798742055892944,0.7314231395721436,20.0,0.866693377494812
26,26.0,0.8238993883132935,0.895781397819519,0.6091381907463074,0.7893081903457642,0.7306333780288696,20.0,0.866693377494812
27,27.0,0.795597493648529,0.8962709307670593,0.6069530248641968,0.7893081903457642,0.7285349369049072,20.0,0.866693377494812
28,28.0,0.7830188870429993,0.8968493938446045,0.6068200469017029,0.7861635088920593,0.7284035086631775,20.0,0.866693377494812
29,29.0,0.7987421154975891,0.8968493938446045,0.6102244853973389,0.795597493648529,0.7320310473442078,20.0,0.866693377494812
30,30.0,0.8144654035568237,0.8965378999710083,0.6118757128715515,0.7893081903457642,0.733568549156189,20.0,0.866693377494812
31,31.0,0.8113207817077637,0.8971164226531982,0.6124447584152222,0.7830188870429993,0.7346444129943848,20.0,0.866693377494812
32,32.0,0.8113207817077637,0.8969829082489014,0.6111233830451965,0.7830188870429993,0.7334641814231873,20.0,0.866693377494812
33,33.0,0.795597493648529,0.8964934349060059,0.6090465188026428,0.7987421154975891,0.731708824634552,20.0,0.866693377494812
34,34.0,0.7987421154975891,0.8964043855667114,0.608946681022644,0.7893081903457642,0.7317670583724976,20.0,0.866693377494812
35,35.0,0.8113207817077637,0.8970274329185486,0.6094927191734314,0.7924528121948242,0.732268214225769,20.0,0.866693377494812
36,36.0,0.795597493648529,0.8976948857307434,0.6088302135467529,0.7924528121948242,0.7312859892845154,20.0,0.866693377494812
37,37.0,0.849056601524353,0.8987628817558289,0.6105396151542664,0.795597493648529,0.7326827049255371,37.0,0.8739097714424133
38,38.0,0.8113207817077637,0.898940920829773,0.6106334328651428,0.7893081903457642,0.732447624206543,37.0,0.8739097714424133
39,39.0,0.795597493648529,0.8995639085769653,0.6101216077804565,0.7830188870429993,0.7314361929893494,37.0,0.8739097714424133
40,40.0,0.8081761002540588,0.901210367679596,0.6106069087982178,0.7830188870429993,0.7311359643936157,37.0,0.8739097714424133
41,41.0,0.8364779949188232,0.9019668698310852,0.6110225915908813,0.7987421154975891,0.7308804988861084,37.0,0.8739097714424133
42,42.0,0.8396226167678833,0.9026343822479248,0.6106612682342529,0.795597493648529,0.7299089431762695,37.0,0.8739097714424133
43,43.0,0.8333333134651184,0.9036579132080078,0.6105203628540039,0.7924528121948242,0.729612410068512,37.0,0.8739097714424133
44,44.0,0.8396226167678833,0.9037913680076599,0.611012876033783,0.7830188870429993,0.7300289869308472,37.0,0.8739097714424133
45,45.0,0.8176100850105286,0.9045923948287964,0.6109986901283264,0.7924528121948242,0.729762852191925,37.0,0.8739097714424133
46,46.0,0.8176100850105286,0.9058383703231812,0.6113563776016235,0.7924528121948242,0.7297780513763428,37.0,0.8739097714424133
47,47.0,0.8176100850105286,0.9065948724746704,0.6117682456970215,0.7987421154975891,0.7299296259880066,37.0,0.8739097714424133
