~iteration~,m,gamma,op,on,delta_p,delta_n
1233,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1242,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1251,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1260,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1269,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1278,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1287,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1296,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1305,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1314,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1323,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1332,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1341,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1350,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1359,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1368,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1377,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1386,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1395,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1404,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1413,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1422,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1431,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1440,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1449,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1458,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1467,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1476,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1485,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1494,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1503,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1512,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1521,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1530,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1539,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1548,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1557,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1566,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1575,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1584,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1593,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1602,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1611,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1620,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1629,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1638,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1647,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1656,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1665,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1674,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1683,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1692,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1701,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1710,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1719,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1728,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1737,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1746,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1755,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1764,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1773,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1782,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1791,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1800,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1809,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1818,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1827,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1836,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1845,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1854,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1863,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1872,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1881,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1890,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1899,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1908,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1917,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1926,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1935,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1944,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1953,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1962,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1971,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1980,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1989,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1998,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2007,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2016,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2025,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2034,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2043,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2052,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2061,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2070,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2079,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2088,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2097,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2106,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2115,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2124,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2133,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2142,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2151,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2160,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2169,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2178,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2187,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2196,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2205,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2214,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2223,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2232,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2241,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2250,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2259,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2268,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2277,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2286,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2295,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2304,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2313,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2322,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2331,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2340,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2349,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2358,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2367,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2376,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2385,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2394,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2403,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2412,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2421,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2430,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2439,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2448,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2457,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2466,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2475,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2484,0.8,80,1.8,-0.8,0.19999999999999996,0.8
2493,0.8,80,1.8,-0.8,0.19999999999999996,0.8
