~iteration~,classifier_loss,total_loss,metric_loss
2196,1,1.0,1.0
2205,1,1.0,1.0
2214,1,1.0,1.0
2223,1,1.0,1.0
2232,1,1.0,1.0
2241,1,1.0,1.0
2250,1,1.0,1.0
2259,1,1.0,1.0
2268,1,1.0,1.0
2277,1,1.0,1.0
2286,1,1.0,1.0
2295,1,1.0,1.0
2304,1,1.0,1.0
2313,1,1.0,1.0
2322,1,1.0,1.0
2331,1,1.0,1.0
2340,1,1.0,1.0
2349,1,1.0,1.0
2358,1,1.0,1.0
2367,1,1.0,1.0
2376,1,1.0,1.0
2385,1,1.0,1.0
2394,1,1.0,1.0
2403,1,1.0,1.0
2412,1,1.0,1.0
2421,1,1.0,1.0
2430,1,1.0,1.0
2439,1,1.0,1.0
2448,1,1.0,1.0
2457,1,1.0,1.0
2466,1,1.0,1.0
2475,1,1.0,1.0
2484,1,1.0,1.0
2493,1,1.0,1.0
2502,1,1.0,1.0
2511,1,1.0,1.0
2520,1,1.0,1.0
2529,1,1.0,1.0
2538,1,1.0,1.0
2547,1,1.0,1.0
2556,1,1.0,1.0
2565,1,1.0,1.0
2574,1,1.0,1.0
2583,1,1.0,1.0
2592,1,1.0,1.0
2601,1,1.0,1.0
2610,1,1.0,1.0
2619,1,1.0,1.0
2628,1,1.0,1.0
2637,1,1.0,1.0
2646,1,1.0,1.0
2655,1,1.0,1.0
2664,1,1.0,1.0
2673,1,1.0,1.0
2682,1,1.0,1.0
2691,1,1.0,1.0
2700,1,1.0,1.0
2709,1,1.0,1.0
2718,1,1.0,1.0
2727,1,1.0,1.0
2736,1,1.0,1.0
2745,1,1.0,1.0
2754,1,1.0,1.0
2763,1,1.0,1.0
2772,1,1.0,1.0
2781,1,1.0,1.0
2790,1,1.0,1.0
2799,1,1.0,1.0
2808,1,1.0,1.0
2817,1,1.0,1.0
2826,1,1.0,1.0
2835,1,1.0,1.0
2844,1,1.0,1.0
2853,1,1.0,1.0
2862,1,1.0,1.0
2871,1,1.0,1.0
2880,1,1.0,1.0
2889,1,1.0,1.0
2898,1,1.0,1.0
2907,1,1.0,1.0
2916,1,1.0,1.0
2925,1,1.0,1.0
2934,1,1.0,1.0
2943,1,1.0,1.0
2952,1,1.0,1.0
2961,1,1.0,1.0
2970,1,1.0,1.0
2979,1,1.0,1.0
2988,1,1.0,1.0
2997,1,1.0,1.0
3006,1,1.0,1.0
3015,1,1.0,1.0
3024,1,1.0,1.0
3033,1,1.0,1.0
3042,1,1.0,1.0
3051,1,1.0,1.0
3060,1,1.0,1.0
3069,1,1.0,1.0
3078,1,1.0,1.0
3087,1,1.0,1.0
3096,1,1.0,1.0
3105,1,1.0,1.0
3114,1,1.0,1.0
3123,1,1.0,1.0
3132,1,1.0,1.0
3141,1,1.0,1.0
3150,1,1.0,1.0
3159,1,1.0,1.0
3168,1,1.0,1.0
3177,1,1.0,1.0
3186,1,1.0,1.0
3195,1,1.0,1.0
3204,1,1.0,1.0
3213,1,1.0,1.0
3222,1,1.0,1.0
3231,1,1.0,1.0
3240,1,1.0,1.0
3249,1,1.0,1.0
3258,1,1.0,1.0
3267,1,1.0,1.0
3276,1,1.0,1.0
3285,1,1.0,1.0
3294,1,1.0,1.0
3303,1,1.0,1.0
3312,1,1.0,1.0
3321,1,1.0,1.0
3330,1,1.0,1.0
3339,1,1.0,1.0
3348,1,1.0,1.0
3357,1,1.0,1.0
3366,1,1.0,1.0
3375,1,1.0,1.0
3384,1,1.0,1.0
3393,1,1.0,1.0
3402,1,1.0,1.0
3411,1,1.0,1.0
3420,1,1.0,1.0
3429,1,1.0,1.0
3438,1,1.0,1.0
3447,1,1.0,1.0
