epoch,best_auc_HOLD_OUT_vs_self/epoch,best_auc_HOLD_OUT_vs_self/acc_yinda_level0,best_auc_HOLD_OUT_vs_self/auc_yinda_level0,best_auc_HOLD_OUT_vs_self/mean_average_precision_at_r_level0,best_auc_HOLD_OUT_vs_self/precision_at_1_level0,best_auc_HOLD_OUT_vs_self/r_precision_level0,best_auc_HOLD_OUT_vs_self/best_epoch,best_auc_HOLD_OUT_vs_self/best_accuracy
17,17.0,0.8888888955116272,0.07999999821186066,0.8006051778793335,0.8222222328186035,0.8484330773353577,1.0,0.24500000476837158
18,18.0,0.8888888955116272,0.1550000011920929,0.8041987419128418,0.8222222328186035,0.8512820601463318,1.0,0.24500000476837158
19,19.0,0.8888888955116272,0.3050000071525574,0.8012301921844482,0.800000011920929,0.8512820601463318,19.0,0.3050000071525574
20,20.0,0.8888888955116272,0.45500001311302185,0.7987711429595947,0.800000011920929,0.8501424789428711,20.0,0.45500001311302185
21,21.0,0.8888888955116272,0.625,0.7989029288291931,0.8222222328186035,0.8484330773353577,21.0,0.625
22,22.0,0.8888888955116272,0.6899999976158142,0.8005704283714294,0.8222222328186035,0.8484330773353577,22.0,0.6899999976158142
23,23.0,0.8888888955116272,0.7250000238418579,0.8015139102935791,0.8222222328186035,0.8490028381347656,23.0,0.7250000238418579
24,24.0,0.8888888955116272,0.7649999856948853,0.8023122549057007,0.8222222328186035,0.8495726585388184,24.0,0.7649999856948853
25,25.0,0.8888888955116272,0.8199999928474426,0.8018431663513184,0.8222222328186035,0.8501424789428711,25.0,0.8199999928474426
26,26.0,0.8888888955116272,0.8349999785423279,0.8011436462402344,0.8222222328186035,0.8501424789428711,26.0,0.8349999785423279
27,27.0,0.8888888955116272,0.8349999785423279,0.799913227558136,0.800000011920929,0.8539885878562927,26.0,0.8349999785423279
28,28.0,0.8888888955116272,0.8299999833106995,0.797883152961731,0.7777777910232544,0.8539885878562927,26.0,0.8349999785423279
29,29.0,0.8888888955116272,0.8399999737739563,0.7961939573287964,0.7777777910232544,0.8534188270568848,29.0,0.8399999737739563
30,30.0,0.8888888955116272,0.8600000143051147,0.7983089089393616,0.7777777910232544,0.8545584082603455,30.0,0.8600000143051147
31,31.0,0.8888888955116272,0.8650000095367432,0.8005058169364929,0.7777777910232544,0.8545584082603455,31.0,0.8650000095367432
32,32.0,0.8888888955116272,0.8650000095367432,0.8024635910987854,0.7777777910232544,0.8556979894638062,31.0,0.8650000095367432
33,33.0,0.8888888955116272,0.875,0.7975099086761475,0.7555555701255798,0.8545584082603455,33.0,0.875
34,34.0,0.8888888955116272,0.8650000095367432,0.7960013151168823,0.7777777910232544,0.8539885878562927,33.0,0.875
35,35.0,0.8888888955116272,0.8650000095367432,0.7921019792556763,0.800000011920929,0.8495726585388184,33.0,0.875
36,36.0,0.8888888955116272,0.8650000095367432,0.7928063273429871,0.7777777910232544,0.8501424789428711,33.0,0.875
37,37.0,0.8888888955116272,0.8700000047683716,0.791626513004303,0.7777777910232544,0.8484330773353577,33.0,0.875
38,38.0,0.8888888955116272,0.8700000047683716,0.7914758920669556,0.7777777910232544,0.8490028381347656,33.0,0.875
39,39.0,0.8888888955116272,0.8650000095367432,0.7925691604614258,0.800000011920929,0.8501424789428711,33.0,0.875
40,40.0,0.8888888955116272,0.8650000095367432,0.7933496832847595,0.800000011920929,0.850712239742279,33.0,0.875
41,41.0,0.8888888955116272,0.8849999904632568,0.7931429743766785,0.7777777910232544,0.8484330773353577,41.0,0.8849999904632568
42,42.0,0.8888888955116272,0.8849999904632568,0.7880933880805969,0.7555555701255798,0.8484330773353577,41.0,0.8849999904632568
43,43.0,0.8888888955116272,0.8799999952316284,0.7908821702003479,0.7777777910232544,0.8501424789428711,41.0,0.8849999904632568
44,44.0,0.8888888955116272,0.8799999952316284,0.7939099073410034,0.800000011920929,0.8501424789428711,41.0,0.8849999904632568
45,45.0,0.8888888955116272,0.8799999952316284,0.7909472584724426,0.800000011920929,0.8495726585388184,41.0,0.8849999904632568
46,46.0,0.8888888955116272,0.8799999952316284,0.7893680930137634,0.7777777910232544,0.8484330773353577,41.0,0.8849999904632568
47,47.0,0.8888888955116272,0.8700000047683716,0.7913470268249512,0.800000011920929,0.8501424789428711,41.0,0.8849999904632568
