Dim1,Dim2
13.876088,2.3273592
7.0787687,6.21424
11.144174,4.591781
10.833711,3.4480672
6.750578,4.8301215
11.059746,4.9146214
6.717875,5.021743
13.576928,2.862123
11.466224,4.4229264
14.430549,1.635536
1.9784776,4.3114944
7.374683,4.9221673
3.9384544,3.8636417
14.439313,1.6310657
5.1106734,4.445247
12.342437,2.8163912
10.912643,4.265382
12.105962,3.0323215
8.489891,5.061718
10.194463,5.0141783
7.6154084,6.1062922
13.279724,2.350682
6.270415,4.6550646
7.443925,5.969268
12.5216255,2.667186
11.209807,4.9039497
3.3724978,4.142301
11.055535,4.3186674
9.451465,4.9720435
12.173509,3.6503172
9.87808,4.1041403
7.1599007,5.0111337
11.92539,3.305953
2.5719075,5.1880107
4.722396,4.2098007
11.605613,4.133234
10.027625,4.4275064
9.85455,4.9473453
12.170798,2.9360895
14.179946,1.8651766
4.801498,5.405777
14.587251,1.491565
7.359955,5.8542423
6.9826093,4.813768
11.505351,3.2674773
8.81397,5.065658
13.616396,2.1600368
6.6204653,5.160784
14.000875,2.144076
10.207796,5.1105304
9.932217,4.030354
12.350962,3.452851
7.9285064,4.8978105
6.9290013,5.6141186
10.59158,3.5094838
12.366022,2.7867994
10.83216,3.4362617
10.865926,4.7693377
10.790093,3.6161513
13.816409,2.1110265
11.44224,3.2648733
