Dim1,Dim2
8.54418,7.371335
3.7553182,9.980281
9.797615,2.0245602
4.134961,9.799636
-0.92885584,9.996217
8.868565,4.4321804
8.279372,4.923407
10.068234,4.2738967
10.032658,1.9460353
9.545376,5.377801
1.3729981,11.572768
9.598514,1.6024355
9.4500885,3.9327843
8.202725,6.7092624
3.607645,9.851752
5.6487856,10.33447
5.9600186,10.71327
9.234697,4.145194
5.6189013,9.286123
4.53333,10.017298
9.9845,2.946539
3.058004,10.245314
6.778718,7.902283
8.353311,4.841417
9.1537,0.8066074
3.158257,10.469432
8.519469,7.1892323
3.306595,10.290555
10.021269,4.9216404
5.8654847,9.21996
3.2896643,10.2650795
2.3048651,9.928434
2.5845904,10.385832
3.0683873,10.186149
7.946818,6.473034
-1.2308158,9.670967
3.4111226,10.1018
3.6792643,9.812461
9.736347,4.994192
9.241543,4.5974298
7.81924,5.910365
2.0539515,10.446587
4.3541408,10.978855
5.500386,9.439324
8.047731,5.297226
8.005357,7.0891056
5.3009458,10.392944
5.7232885,10.600319
8.41454,7.414044
-2.0321052,8.422648
8.667425,5.080514
9.899443,2.3190677
9.845355,2.7142015
0.5120843,10.356886
9.237295,6.37313
9.051302,0.8338946
4.472282,10.784655
5.662321,9.855851
7.7631893,6.2553234
5.5821953,9.884938
6.3667364,8.578008
8.275304,5.77942
5.8393817,10.318984
9.908122,5.1348505
8.691122,7.3879266
8.958266,4.694612
5.1171613,9.744229
9.7199,5.8514476
5.304581,9.56715
9.83293,2.2458146
7.594099,6.3400984
5.271552,10.321286
6.829861,8.338971
8.431464,5.7254114
4.529759,10.315873
7.546468,6.330385
8.728545,0.48759213
6.6897254,8.102118
9.662992,4.8581686
10.058862,2.2045386
-0.90775645,10.021451
8.390094,5.3081493
7.727074,6.6099
5.449431,10.4535055
8.010515,5.598802
8.6187935,6.768964
9.045439,5.2331357
9.850683,2.8526769
8.745097,5.1733847
4.13218,11.127054
6.052715,9.927542
8.331418,7.581288
8.8352165,5.0487156
6.1267605,9.759893
5.9612894,10.27941
9.2447605,6.70214
4.8971276,10.486869
4.918456,9.285535
-2.8658485,7.2090325
4.375521,10.152607
-0.4834709,9.935444
9.5611725,4.6442504
1.1273774,10.184624
10.097353,2.4887183
5.982647,10.543363
8.843299,6.396693
2.7805104,9.914196
0.91151077,10.1894245
9.855198,5.1567645
10.071712,2.3802238
8.646139,6.037547
6.076748,8.735455
8.861679,4.9322104
9.2227335,1.1564937
4.742746,9.424202
8.309457,6.2946177
9.0473795,1.0836318
9.911203,2.472159
5.462972,10.454157
6.529292,8.142304
9.044772,0.85262555
7.0490847,7.7084866
6.412054,8.86252
9.348605,5.626416
7.572855,6.506581
8.652612,4.638176
9.667195,1.8172921
9.87071,2.8101223
3.990276,9.659943
8.952073,0.68803376
10.096177,2.4896767
9.921704,5.256681
9.430146,6.3163185
8.648924,5.193414
0.29406387,10.303169
8.240488,7.4054933
4.6687627,9.637605
8.642512,6.474706
5.0729,9.104718
-2.134033,8.87982
9.763738,4.890867
8.521434,6.7519574
10.0412855,2.1780355
5.9013615,10.454236
8.160218,6.076335
9.372841,6.430761
4.7510295,9.601382
7.678213,6.078943
4.820076,9.490299
10.029047,2.6596437
8.260905,5.9080143
9.349961,0.9292517
0.19216299,10.679893
5.1476617,9.144625
2.279332,10.080009
9.208062,0.8469568
3.2644794,10.184629
10.072056,4.7576466
8.389816,6.522053
9.901185,5.098326
6.605012,8.525263
7.7381134,6.81621
5.9815392,10.1595
9.843632,2.2163596
4.511682,9.32617
5.905739,10.068992
10.155071,4.5587063
7.81165,6.041441
1.7711117,10.331695
8.365266,6.316318
6.8088837,7.9093475
9.400106,4.90313
8.508472,7.299072
4.8957014,9.6916065
9.564682,5.371345
1.6008781,11.691268
3.0171828,10.041009
8.720287,5.6175327
8.23859,7.0003896
7.318021,7.3309507
10.047024,4.7139606
9.617798,1.6052086
4.3114314,11.033763
9.008773,0.56840247
5.8485928,10.141386
5.004618,9.379874
9.61984,5.692334
6.8271027,8.3259535
9.92881,2.2129602
4.8821716,9.819465
9.854903,1.9039578
7.499938,6.71834
8.607984,7.310311
9.532453,4.771907
5.8009815,8.815955
5.462871,10.141861
9.266501,6.6533866
10.183071,4.645998
9.403981,6.453305
7.8400116,6.269538
8.9660425,6.429242
9.755085,2.3640828
9.639583,5.7518272
4.9494176,9.129777
1.2198272,10.201585
8.582716,7.038247
-2.8875108,6.834624
-2.9707623,6.647695
-3.5558016,5.104289
-0.97724223,10.0718155
-3.3539555,6.0459967
-2.87062,6.8263745
0.73155683,11.100416
0.8099591,11.121321
1.5362436,11.662068
0.52699435,10.272815
-2.6315138,8.431499
-2.8906298,6.8515124
9.934129,1.9460511
1.0257702,10.22456
0.53514355,10.307501
9.614064,2.97343
-2.9059236,6.9527574
-1.2337927,9.121296
-2.5145445,7.454962
-3.3228295,6.121377
1.5249715,11.242415
